fid,agency_cd,site_no,station_nm,dec_lat_va,dec_long_v,coord_acy_,dec_coord_,state_cd,alt_va,alt_acy_va,alt_datum_,REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"3006",USGS,"1380000",Beaver Brook at outlet of Splitrock Reservoir NJ,40.96305556,-74.46,S,NAD83,"34",790,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3007",USGS,"1380100",Beaver Brook at Rockaway NJ,40.9022222,-74.50138889,S,NAD83,"34",510,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3008",USGS,"1380450",Rockaway River at Main Street at Boonton NJ,40.9075,-74.4191667,S,NAD83,"34",479,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3009",USGS,"1380500",Rockaway River above Reservoir at Boonton NJ,40.90277778,-74.4097222,S,NAD83,"34",364.47,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3010",USGS,"1381000",Rockaway River below Reservoir at Boonton NJ,40.89694444,-74.3947222,S,NAD83,"34",195.68,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3011",USGS,"1381400",Whippany River near Morristown NJ,40.8122222,-74.5119444,S,NAD83,"34",310,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3012",USGS,"1381500",Whippany River at Morristown NJ,40.8072222,-74.4569444,S,NAD83,"34",260.01,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3013",USGS,"1381800",Whippany River near Pine Brook NJ,40.845,-74.3472222,S,NAD83,"34",162,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3014",USGS,"1381900",Passaic River at Pine Brook NJ,40.8625,-74.3216667,S,NAD83,"34",149.26,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3015",USGS,"1381940",Passaic R at Horse Neck Bridge near Pine Bk NJ,40.8822222,-74.34,S,NAD83,"34",,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3016",USGS,"1382170",Pequannock River at NJ Route 23 near Oak Ridge NJ,41.07777778,-74.4897222,S,NAD83,"34",880,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3017",USGS,"1382210",Pequannock River at Oak Ridge NJ,41.0397222,-74.5016667,S,NAD83,"34",790,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3018",USGS,"1382270",Pequannock River at NJ Route 23 at Newfoundland NJ,41.05305556,-74.45138889,S,NAD83,"34",761.47,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3019",USGS,"1382385",Pequannock River at Green Pond Junction NJ,41.0247222,-74.4083333,S,NAD83,"34",610,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3020",USGS,"1382500",Pequannock River at Macopin Intake Dam NJ,41.0183333,-74.4011111,S,NAD83,"34",549.17,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3021",USGS,"1382800",Pequannock River at Riverdale NJ,40.9986111,-74.2980556,S,NAD83,"34",187.9,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3022",USGS,"1383000",Greenwood Lake at Awosting NJ,41.16166667,-74.3333333,S,NAD83,"34",608.86,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3023",USGS,"1383500",Wanaque River at Awosting NJ,41.16027778,-74.3336111,S,NAD83,"34",601.32,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3024",USGS,"1384500",Ringwood Creek near Wanaque NJ,41.1272222,-74.2658333,S,NAD83,"34",292.67,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3025",USGS,"1386000",West Brook near Wanaque NJ,41.0736111,-74.3116667,S,NAD83,"34",326.79,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3026",USGS,"1387000",Wanaque River at Wanaque NJ,41.04416667,-74.2930556,S,NAD83,"34",210,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3027",USGS,"1387500",Ramapo River near Mahwah NJ,41.09805556,-74.16277778,S,NAD83,"34",253.1,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3028",USGS,"1387905",Ramapo River at West Oakland Avenue at Oakland NJ,41.0275,-74.25,S,NAD83,"34",200,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3029",USGS,"1387940",Ramapo River at Lakeside Ave at Pompton Lakes NJ,41.0072222,-74.2744444,S,NAD83,"34",190.96,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3030",USGS,"1387998",Ramapo River above dam at Pompton Lakes NJ,40.99277778,-74.27888889,S,NAD83,"34",190.96,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3031",USGS,"1388000",Ramapo River at Pompton Lakes NJ,40.99194444,-74.28,"1",NAD83,"34",171.35,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3032",USGS,"1388100",Ramapo River at Dawes Highway at Pompton NJ,40.98555556,-74.2794444,S,NAD83,"34",175.3,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3033",USGS,"1388500",Pompton River at Pompton Plains NJ,40.9697222,-74.2819444,S,NAD83,"34",160,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3034",USGS,"1388700",Beaver Dam Brook at Lincoln Park NJ,40.9247222,-74.3025,S,NAD83,"34",170,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3035",USGS,"1388910",Pompton River at Mountain View NJ,40.91444444,-74.2705556,S,NAD83,"34",156.5,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3036",USGS,"1389005",Passaic River below Pompton Riv at Two Bridges NJ,40.89638889,-74.2691667,S,NAD83,"34",155,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3037",USGS,"1389010",Passaic River at I-80 at Singac NJ,40.89444444,-74.2661111,S,NAD83,"34",155,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3038",USGS,"1389492",Passaic River abv Beatties Dam at Little Falls NJ,40.88444444,-74.2344444,S,NAD83,"34",150,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3039",USGS,"1389500",Passaic River at Little Falls NJ,40.8847222,-74.2261111,S,NAD83,"34",120,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3040",USGS,"1389534",Peckman River at Ozone Ave at Verona NJ,40.845,-74.2355556,S,NAD83,"34",300.08,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3041",USGS,"1389550",Peckman River at Little Falls NJ,40.87194444,-74.2222222,S,NAD83,"34",165.69,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3042",USGS,"1389765",Molly Ann Brook at North Haledon NJ,40.95305556,-74.1847222,S,NAD83,"34",209.68,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3043",USGS,"1389802",Passaic R at Passaic (Great) Falls at Paterson NJ,40.9158333,-74.1816667,S,NAD83,"34",100,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3044",USGS,"1389890",Passaic River at Dundee Dam at Clifton NJ,40.8858333,-74.1283333,S,NAD83,"34",24.52,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3045",USGS,"1390450",Saddle River at Upper Saddle River NJ,41.0586111,-74.0955556,S,NAD83,"34",185.16,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3046",USGS,"1390500",Saddle River at Ridgewood NJ,40.985,-74.0905556,S,NAD83,"34",71.74,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3047",USGS,"1391000",Hohokus Brook at Ho-Ho-Kus NJ,40.99777778,-74.1119444,S,NAD83,"34",120.09,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3048",USGS,"1391102",Saddle River below Hohokus Brook at Paramus NJ,40.95527778,-74.0997222,S,NAD83,"34",,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3049",USGS,"1391500",Saddle River at Lodi NJ,40.89027778,-74.0805556,S,NAD83,"34",25,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3050",USGS,"1392170",Third River at Bloomfield NJ,40.8,-74.18777778,S,NAD83,"34",100,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3051",USGS,"1392500",Second River at Belleville NJ,40.78805556,-74.1716667,S,NAD83,"34",62.6,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3052",USGS,"1393450",Elizabeth River at Ursino Lake at Elizabeth NJ,40.675,-74.2219444,S,NAD83,"34",0,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3053",USGS,"1393890",East Branch Rahway River at Maplewood NJ,40.7347222,-74.2705556,S,NAD83,"34",114.6,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3054",USGS,"1393895",East Br Rahway Riv at Millburn Ave at Millburn NJ,40.72277778,-74.285,S,NAD83,"34",88.9,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3055",USGS,"1394000",West Branch Rahway River at Millburn NJ,40.73166667,-74.3075,S,NAD83,"34",173.65,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3056",USGS,"1394500",Rahway River near Springfield NJ,40.6875,-74.3116667,S,NAD83,"34",66.17,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3057",USGS,"1394620",Rahway River at Kenilworth NJ,40.67305556,-74.3130556,S,NAD83,"34",57.16,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3058",USGS,"1395000",Rahway River at Rahway NJ,40.61888889,-74.2833333,S,NAD83,"34",8.77,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3059",USGS,"1396000",Robinsons Branch at Rahway NJ,40.6058333,-74.2997222,S,NAD83,"34",19.99,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3060",USGS,"1396091",South Br Raritan River at Rt 46 at Budd Lake NJ,40.85944444,-74.7608333,S,NAD83,"34",940,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3061",USGS,"1396152",Flanders Brook at US Route 206 near Flanders NJ,40.8558333,-74.7011111,S,NAD83,"34",870,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3062",USGS,"1396190",South Branch Raritan River at Four Bridges NJ,40.8061111,-74.7405556,S,NAD83,"34",564,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3063",USGS,"1396500",South Branch Raritan River near High Bridge NJ,40.67777778,-74.8791667,S,NAD83,"34",282.1,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3064",USGS,"1396582",Spruce Run at Main Street at Glen Gardner NJ,40.69138889,-74.9369444,S,NAD83,"34",379.1,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3065",USGS,"1396660",Mulhockaway Creek at Van Syckel NJ,40.6475,-74.96888889,S,NAD83,"34",280.25,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3066",USGS,"1396800",Spruce Run at Clinton NJ,40.64,-74.9155556,S,NAD83,"34",193.5,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3067",USGS,"1397000",South Branch Raritan River at Stanton NJ,40.5722222,-74.8680556,S,NAD83,"34",125.01,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3068",USGS,"1397420",SB Raritan R at Black Point Rd at Neshanic Sta NJ,40.50194444,-74.7425,S,NAD83,"34",60.4,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3069",USGS,"1398000",Neshanic River at Reaville NJ,40.4733333,-74.82777778,S,NAD83,"34",109.46,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3070",USGS,"1398102",South Branch Raritan River at South Branch NJ,40.54694444,-74.69638889,S,NAD83,"34",45.54,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3071",USGS,"1398500",North Branch Raritan River near Far Hills NJ,40.7083333,-74.6361111,S,NAD83,"34",224.49,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3072",USGS,"1398900",North Branch Raritan River at Bedminster NJ,40.68277778,-74.6383333,S,NAD83,"34",124.12,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3073",USGS,"1399100",Middle Brook at Burnt Mills NJ,40.64944444,-74.6816667,S,NAD83,"34",95,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3074",USGS,"1399500",Lamington (Black) River near Pottersville NJ,40.7275,-74.73027778,S,NAD83,"34",284.14,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3075",USGS,"1399670",South B Rockaway Creek at Whitehouse Station NJ,40.61944444,-74.7736111,S,NAD83,"34",121.5,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3076",USGS,"1399780",Lamington River at Burnt Mills NJ,40.6347222,-74.6866667,S,NAD83,"34",70,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3077",USGS,"1399830",North Branch Raritan River at North Branch NJ,40.6,-74.67388889,S,NAD83,"34",56.94,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3078",USGS,"1400000",North Branch Raritan River near Raritan NJ,40.57055556,-74.6791667,S,NAD83,"34",50.43,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3079",USGS,"1400010",North Branch Raritan River at South Branch NJ,40.55666667,-74.6875,S,NAD83,"34",46.03,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3080",USGS,"1400360",Peters Brook at Mercer St at Somerville NJ,40.575,-74.6158333,S,NAD83,"34",42.5,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3081",USGS,"1400500",Raritan River at Manville NJ,40.55555556,-74.58277778,S,NAD83,"34",20.61,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3082",USGS,"1401000",Stony Brook at Princeton NJ,40.33305556,-74.6819444,S,NAD83,"34",62.23,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3083",USGS,"1401650",Pike Run at Belle Mead NJ,40.46805556,-74.64888889,S,NAD83,"34",58.85,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3084",USGS,"1401750",Millstone River at Griggstown NJ,40.44,-74.6175,S,NAD83,"34",26.52,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3085",USGS,"1402000",Millstone River at Blackwells Mills NJ,40.475,-74.5758333,S,NAD83,"34",26.97,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3086",USGS,"1402500",Millstone River at Millstone NJ,40.50277778,-74.5875,S,NAD83,"34",24.4,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3087",USGS,"1402540",Millstone River at Weston NJ,40.5297222,-74.5883333,S,NAD83,"34",21.9,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3088",USGS,"1402630",Royce Brook at Hamilton Road near Manville NJ,40.5061111,-74.6230556,S,NAD83,"34",41.18,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3089",USGS,"1403060",Raritan River below Calco Dam at Bound Brook NJ,40.5511111,-74.5483333,S,NAD83,"34",0,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3090",USGS,"1403150",West Branch Middle Brook near Martinsville NJ,40.6122222,-74.5908333,S,NAD83,"34",240.48,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3091",USGS,"1403200",Middle Brook at Bound Brook NJ,40.5608333,-74.54888889,S,NAD83,"34",20.47,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3092",USGS,"1403400",Green Brook at Seeley Mills NJ,40.6661111,-74.40388889,S,NAD83,"34",184.44,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3093",USGS,"1403540",Stony Brook at Watchung NJ,40.63638889,-74.45138889,S,NAD83,"34",162.24,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3094",USGS,"1403570",Stony Brook at North Plainfield NJ,40.62194444,-74.4361111,S,NAD83,"34",71.69,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3095",USGS,"1403600",Green Brook at Rock Avenue at Plainfield NJ,40.60194444,-74.4575,S,NAD83,"34",43.85,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3096",USGS,"1403900",Bound Brook at Middlesex NJ,40.585,-74.50777778,S,NAD83,"34",26.52,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3097",USGS,"1405030",Lawrence Brook at Westons Mills NJ,40.48305556,-74.41277778,S,NAD83,"34",0,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3098",USGS,"1405400",Manalapan Brook at Spotswood NJ,40.38944444,-74.3905556,S,NAD83,"34",0,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3099",USGS,"1406050",Deep Run at Old Bridge NJ,40.415,-74.34888889,S,NAD83,"34",1.3,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3100",USGS,"1406710","Raritan River at South Amboy, NJ",40.4922222,-74.2816667,S,NAD83,"34",0,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3101",USGS,"1407290",Big Brook near Marlboro NJ,40.3197222,-74.2141667,S,NAD83,"34",80,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3102",USGS,"1407500",Swimming River near Red Bank NJ,40.3197222,-74.1155556,S,NAD83,"34",30,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3103",USGS,"1407705",Shark River near Neptune City NJ,40.1986111,-74.07,S,NAD83,"34",7.05,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
"3104",USGS,"1407760",Jumping Brook near Neptune City NJ,40.2033333,-74.0658333,S,NAD83,"34",13.76,,,"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19049723313","3542963551","+40.1072744","-074.6652012"
